sizden jilet ödünç alabilir miyim ?	alexis , bacakları için kullandığıyla tıraş olmama uyuz oluyor .	hey , uh , do you mind if i borrow a razor ?	alexis gets all fired up when i shave with the one she uses for her legs .
neden sordun ?	çünkü polislere karşı derin bir güvensizliği var !	why ?	because she seems to have a deep mistrust of the police .
kim tuzak kurmuş ?	emma ' nın st. helena yetimhanesi ' ndeki kayıtlarını biliyor musunuz ?	who 's framing her ?	did you know that angelo stole her adoption records from st. helena 's home for children ?
giysisiz özgür olmak , giysili özgür olmamaktan iyidir .	keşke uçakla bir yere gitse .	freedom and no clothes is a lot better than no freedom with clothes .	if she would just take a plane somewhere .
çünkü adını bilemedin .	ama adı lilly olan birine benziyor .	because you called her by the wrong name .	but she really looks like a lilly .
susan ' ı hastaneye kaldırmışlar .	yani öylece yatıyordu .	they took susan to the hospital .	so she was just lying there ?
i̇yi ki em ' in ormana koştuğunu görmüşüm .	az daha onu kaybediyordum .	i 'm just glad i saw em run into the woods .	i almost lost her .
en azından , karım böyle söylüyor .	muhtemelen haklı .	at least , that 's what my wife told me .	she 's probably right .
şimdi burada ol .	olive benden günlüğünü okumamanı istememi rica etti .	be here now .	olive wanted me to ask you not to read her diary .
olive benden günlüğünü okumamanı istememi rica etti .	yanlışlıkla yastığının altında bırakmış .	olive wanted me to ask you not to read her diary .	she left it under her pillow by mistake .
neyse .	yani , nerede olduğunu bilmiyorum .	anyway .	i mean , i don 't know where she is .
sahneden inebilir misin ?	ne yapıyor ?	would you leave the stage ?	what is she doing ?
hayır .	nerede bu kız ?	no .	where is she ?
anlamıyorum !	küçük ve kısa boylu bir kız .	i don 't understand !	she 's small and short .
küçük ve kısa boylu bir kız .	şimdi bu tarafa kaçtı .	she 's small and short .	she just ran this way .
i̇yi efendim .	çok yaramazlık yapıyorsa , katen buraya geri gelebilir .	she 's fine sir .	if it 's too much trouble for her , katen can come back to live here .
onu çok seviyor .	onun gibi bir öksüz , böyle bir anneye ve bir aileye sahip olduğu için çok şanslı .	she loves her very much .	it 's fortunate for an orphan like her , to have a mother , a family .
senin yüzünden .	bir de pes etmesini mi istiyorsun ?	because of you .	and you want her to give up ?
bana yardımcı ol .	yüzünü unutma .	you help me out .	remember her face .
fiona doğum günlerini çok ciddiye alır .	bazen ona önceki gece uyku ilacı vermek zorunda kalıyorum , uyuyabilmesi için .	fiona takes her birthdays very seriously .	i sometimes have to drug her the night before just to get her to sleep .
ben olsam onu yemeden önce bir daha düşünürdüm .	d.b. buraların kraliçesi olduğunu sanıyor .	you know , i 'd think twice before eating that .	d.b. thinks she 's , uh , queen of the cellblock .
ufak hediyesini yemezsen yüzüne tükürmüş olursun .	düşmanın olur .	and if , uh , you don 't eat her little gift , you 're spitting in her face .	she 's your enemy .
gerçekleşmesine mani olmalıyız .	dediklerine göre d.b. ile çetesi , çamaşırhanede üstüne çullanacakmış .	we 'll have to make sure that doesn 't happen .	apparently , d.b. and her crew are gonna jump you in the laundry room .
zeki ve kararlı .	onu ölümsüz yapmayacaksın değil mi ?	worse , she 's smart and certifiable .	you 're not actually going to make her immortal ?
sicim teori ' si ile başlıyor .	sonra joe polchinski ' nin sicimler dev üç boyutlu zarlara sıkıştırılmış tüm şeylerdir düşüncesini ekliyor .	she began with string theory , the idea that all the fundamental particles are just vibrations of tiny nine-dimensional strings .	then she added in joe polchinski 's ideas that strings making up all the stuff in our universe had to be stuck to a giant three-dimensional object called a brane .
onu çok merak ediyorum .	başına her iş gelmiş olabilir .	i 'm so worried about her .	you know anything could have happened to her .
otelde , kız kardeşini arayan bir bayan kalıyor .	belli ki kız kaybolmuş .	there 's a girl staying here at the hotel looking for her sister .	apparently she 's gone missing .
onunla konuştum .	onun pezevengine karşı tanıklık yapmasını istiyoruz .	i talked to her .	we need her to testify against her pimp .
sen ve laurie ann neler konuşuyordunuz ?	mutlu görünmüyordu .	what were you and laurie ann talking about ?	she didn 't seem happy .
o -	i̇ki kez evlenmiş !	she 's had .	she 's been married twice !
